receivetime,time,aPrice0,aPrice1,aPrice2,aPrice3,aPrice4,aPrice5,aPrice6,aPrice7,aPrice8,aPrice9,aUnit0,aUnit1,aUnit2,aUnit3,aUnit4,aUnit5,aUnit6,aUnit7,aUnit8,aUnit9,bidPrice0,bidPrice1,bidPrice2,bidPrice3,bidPrice4,bidPrice5,bidPrice6,bidPrice7,bidPrice8,bidPrice9,bidUnit0,bidUnit1,bidUnit2,bidUnit3,bidUnit4,bidUnit5,bidUnit6,bidUnit7,bidUnit8,bidUnit9,askOffers0,askOffers1,askOffers2,askOffers3,askOffers4,askOffers5,askOffers6,askOffers7,askOffers8,askOffers9,bidOffers0,bidOffers1,bidOffers2,bidOffers3,bidOffers4,bidOffers5,bidOffers6,bidOffers7,bidOffers8,bidOffers9
01:35:05.308737,17:30:27+02:00,152.54,152.56,152.58,152.6,152.62,152.76,152.88,153.14,153.16,153.34,8,947,12,12,5,12,12,3,174,7,152.48,152.46,152.44,152.42,152.4,152.38,152.36,152.34,152.32,152.3,1042,1377,1676,7,7,525,35,4,5,5,1,2,2,2,1,2,1,1,1,1,3,5,5,2,2,3,2,3,1,1
02:15:06.288223,17:30:19+02:00,152.52,152.54,152.56,152.58,152.6,152.62,152.76,152.88,153.14,153.16,818,912,1022,575,7,5,12,12,3,174,152.46,152.44,152.42,152.4,152.38,152.36,152.34,152.32,152.3,152.28,781,1701,17,7,525,35,4,5,5,1625,3,2,2,2,3,1,2,1,1,1,4,6,3,2,3,2,3,1,1,3
02:55:07.439906,17:30:27+02:00,152.54,152.56,152.58,152.6,152.62,152.76,152.88,153.14,153.16,153.34,8,947,12,12,5,12,12,3,174,7,152.48,152.46,152.44,152.42,152.4,152.38,152.36,152.34,152.32,152.3,1042,1377,1676,7,7,525,35,4,5,5,1,2,2,2,1,2,1,1,1,1,3,5,5,2,2,3,2,3,1,1
03:35:08.539020,17:30:19+02:00,152.52,152.54,152.56,152.58,152.6,152.62,152.76,152.88,153.14,153.16,818,912,1022,575,7,5,12,12,3,174,152.46,152.44,152.42,152.4,152.38,152.36,152.34,152.32,152.3,152.28,781,1701,17,7,525,35,4,5,5,1625,3,2,2,2,3,1,2,1,1,1,4,6,3,2,3,2,3,1,1,3
03:35:08.543854,17:30:27+02:00,152.54,152.56,152.58,152.6,152.62,152.76,152.88,153.14,153.16,153.34,8,947,12,12,5,12,12,3,174,7,152.48,152.46,152.44,152.42,152.4,152.38,152.36,152.34,152.32,152.3,1042,1377,1676,7,7,525,35,4,5,5,1,2,2,2,1,2,1,1,1,1,3,5,5,2,2,3,2,3,1,1
04:55:10.663348,17:30:19+02:00,152.52,152.54,152.56,152.58,152.6,152.62,152.76,152.88,153.14,153.16,818,912,1022,575,7,5,12,12,3,174,152.46,152.44,152.42,152.4,152.38,152.36,152.34,152.32,152.3,152.28,781,1701,17,7,525,35,4,5,5,1625,3,2,2,2,3,1,2,1,1,1,4,6,3,2,3,2,3,1,1,3
06:15:12.930655,17:30:27+02:00,152.54,152.56,152.58,152.6,152.62,152.76,152.88,153.14,153.16,153.34,8,947,12,12,5,12,12,3,174,7,152.48,152.46,152.44,152.42,152.4,152.38,152.36,152.34,152.32,152.3,1042,1377,1676,7,7,525,35,4,5,5,1,2,2,2,1,2,1,1,1,1,3,5,5,2,2,3,2,3,1,1
06:15:12.934538,17:30:19+02:00,152.52,152.54,152.56,152.58,152.6,152.62,152.76,152.88,153.14,153.16,818,912,1022,575,7,5,12,12,3,174,152.46,152.44,152.42,152.4,152.38,152.36,152.34,152.32,152.3,152.28,781,1701,17,7,525,35,4,5,5,1625,3,2,2,2,3,1,2,1,1,1,4,6,3,2,3,2,3,1,1,3
06:55:14.042838,17:30:19+02:00,152.52,152.54,152.56,152.58,152.6,152.62,152.76,152.88,153.14,153.16,818,912,1022,575,7,5,12,12,3,174,152.46,152.44,152.42,152.4,152.38,152.36,152.34,152.32,152.3,152.28,781,1701,17,7,525,35,4,5,5,1625,3,2,2,2,3,1,2,1,1,1,4,6,3,2,3,2,3,1,1,3
07:35:15.070872,17:30:27+02:00,152.54,152.56,152.58,152.6,152.62,152.76,152.88,153.14,153.16,153.34,8,947,12,12,5,12,12,3,174,7,152.48,152.46,152.44,152.42,152.4,152.38,152.36,152.34,152.32,152.3,1042,1377,1676,7,7,525,35,4,5,5,1,2,2,2,1,2,1,1,1,1,3,5,5,2,2,3,2,3,1,1
